,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,ateroesclerosis_tuning173,30.0,0.05869,0.13058,0.63599,0.68783,0.43919,0.5911,0.36531,1.1825,4.1332,1.3375,3.6012e-06,3.6012e-06,3.6012e-06
75,ateroesclerosis_tuning132,30.0,0.08151,0.10194,0.77735,0.63469,0.38739,0.54353,0.33666,1.6952,3.3077,1.6262,3.0634e-06,3.0634e-06,3.0634e-06
76,ateroesclerosis_tuning71,30.0,0.07689,0.06598,0.8069,0.57483,0.38063,0.52772,0.32009,1.6814,2.3055,1.6435,3.9201e-06,3.9201e-06,3.9201e-06
77,ateroesclerosis_tuning70,30.0,0.06276,0.06331,0.77034,0.57524,0.34009,0.49605,0.35274,1.3036,2.1323,1.5441,3.6951e-06,3.6951e-06,3.6951e-06
78,ateroesclerosis_tuning61,30.0,0.06149,0.07064,0.77409,0.62423,0.34234,0.5244,0.35045,1.3196,2.615,1.5528,3.6882e-06,3.6882e-06,3.6882e-06
79,ateroesclerosis_tuning250,30.0,0.07549,0.10367,0.53738,0.70231,0.37725,0.57583,0.36706,1.6068,3.5632,1.1054,3.5203e-06,3.5203e-06,3.5203e-06
80,ateroesclerosis_tuning194,30.0,0.06309,0.12058,0.52911,0.60989,0.375,0.53086,0.36613,1.1516,3.5607,1.0351,3.2072e-06,3.2072e-06,3.2072e-06
81,ateroesclerosis_tuning175,30.0,0.08253,0.09511,0.63594,0.65377,0.36149,0.53243,0.33742,1.5778,3.1401,1.2872,3.5168e-06,3.5168e-06,3.5168e-06
82,ateroesclerosis_tuning5,30.0,0.07045,0.07901,0.80095,0.6096,0.32883,0.49329,0.32486,1.5151,2.718,1.6871,4.3116e-06,4.3116e-06,4.3116e-06
83,ateroesclerosis_tuning238,30.0,0.07058,0.11347,0.69862,0.76675,0.34797,0.58366,0.38949,1.4744,3.8933,1.4162,3.5124e-06,3.5124e-06,3.5124e-06
84,ateroesclerosis_tuning108,30.0,0.07467,0.10363,0.63527,0.66019,0.38288,0.55189,0.34427,1.4994,3.2677,1.2966,3.5203e-06,3.5203e-06,3.5203e-06
85,ateroesclerosis_tuning75,30.0,0.06078,0.05599,0.80698,0.65995,0.29505,0.50743,0.34858,1.2322,2.1215,1.607,3.7177e-06,3.7177e-06,3.7177e-06
86,ateroesclerosis_tuning18,30.0,0.0743,0.08722,0.78285,0.66829,0.30856,0.52158,0.36149,1.5182,3.1583,1.613,5.2714e-06,5.2714e-06,5.2714e-06
87,ateroesclerosis_tuning176,30.0,0.07231,0.09936,0.62605,0.71548,0.38514,0.58066,0.37029,1.5794,3.4362,1.3367,3.5203e-06,3.5203e-06,3.5203e-06
88,ateroesclerosis_tuning95,30.0,0.06462,0.03491,0.87172,0.69471,0.32545,0.53108,0.34856,1.458,1.3731,1.9063,4.5375e-06,4.5375e-06,4.5375e-06
89,ateroesclerosis_tuning236,30.0,0.07034,0.12808,0.72184,0.59622,0.39077,0.51902,0.31863,1.4792,4.2678,1.497,3.5646e-06,3.5646e-06,3.5646e-06
90,ateroesclerosis_tuning243,30.0,0.07172,0.10264,0.56702,0.76699,0.44482,0.62837,0.38961,1.3744,3.0684,1.0834,3.0154e-06,3.0154e-06,3.0154e-06
91,ateroesclerosis_tuning118,30.0,0.07594,0.10617,0.63808,0.74051,0.39527,0.60605,0.3708,1.5747,3.4773,1.2919,3.5203e-06,3.5203e-06,3.5203e-06
92,ateroesclerosis_tuning217,30.0,0.07561,0.11006,0.7001,0.64111,0.41441,0.56704,0.33081,1.5501,3.5959,1.4772,3.5351e-06,3.5351e-06,3.5351e-06
93,ateroesclerosis_tuning142,30.0,0.07451,0.1057,0.6411,0.68342,0.30631,0.52506,0.36367,1.6468,3.7665,1.3408,3.5351e-06,3.5351e-06,3.5351e-06
94,ateroesclerosis_tuning195,30.0,0.07891,0.09157,0.69932,0.72658,0.3232,0.54932,0.34993,1.6854,3.3788,1.4796,3.5203e-06,3.5203e-06,3.5203e-06
95,ateroesclerosis_tuning245,30.0,0.06783,0.13136,0.62418,0.68282,0.3491,0.55231,0.36246,1.2662,4.1592,1.304,3.4681e-06,3.4681e-06,3.4681e-06
96,ateroesclerosis_tuning106,30.0,0.08534,0.05244,0.97823,0.72394,0.28941,0.53777,0.38824,1.8782,2.1163,1.9146,5.4719e-06,5.4719e-06,5.4719e-06
97,ateroesclerosis_tuning48,30.0,0.07618,0.07815,0.83701,0.75775,0.30293,0.55032,0.37921,1.6747,2.9966,1.7533,5.0684e-06,5.0684e-06,5.0684e-06
98,ateroesclerosis_tuning33,30.0,0.07461,0.08686,0.6596,0.74128,0.28716,0.53562,0.38603,1.6351,3.3691,1.3595,3.7265e-06,3.7265e-06,3.7265e-06
99,ateroesclerosis_tuning221,30.0,0.09476,0.11362,0.70074,0.64047,0.36712,0.5445,0.33772,1.8996,3.6217,1.4131,3.1291e-06,3.1291e-06,3.1291e-06
100,ateroesclerosis_tuning239,30.0,0.06439,0.1175,0.6977,0.76983,0.4482,0.626,0.35863,1.2305,3.7059,1.3737,3.1856e-06,3.1856e-06,3.1856e-06
101,ateroesclerosis_tuning31,30.0,0.0728,0.09659,0.85815,0.61148,0.31194,0.4947,0.3442,1.5985,3.5651,1.7651,5.0591e-06,5.0591e-06,5.0591e-06
102,ateroesclerosis_tuning138,30.0,0.07505,0.11917,0.57556,0.71937,0.40991,0.59572,0.36124,1.5463,3.8314,1.1765,4.0119e-06,4.0119e-06,4.0119e-06
103,ateroesclerosis_tuning161,30.0,0.07311,0.12006,0.70034,0.62992,0.36036,0.53997,0.35792,1.4859,3.7269,1.4324,3.5455e-06,3.5455e-06,3.5455e-06
104,ateroesclerosis_tuning130,30.0,0.07135,0.09986,0.62273,0.75484,0.39527,0.58643,0.36136,1.418,3.4756,1.2144,3.5203e-06,3.5203e-06,3.5203e-06
105,ateroesclerosis_tuning232,30.0,0.07076,0.11725,0.69746,0.58979,0.37725,0.51911,0.34475,1.4752,3.502,1.5129,3.1191e-06,3.1191e-06,3.1191e-06
106,ateroesclerosis_tuning82,30.0,0.06228,0.05498,0.91776,0.7554,0.35473,0.5769,0.3967,1.2686,2.0869,1.7319,4.9535e-06,4.9535e-06,4.9535e-06
107,ateroesclerosis_tuning186,30.0,0.07878,0.10718,0.7456,0.68635,0.3795,0.56424,0.35456,1.8108,3.4867,1.6869,3.9008e-06,3.9008e-06,3.9008e-06
108,ateroesclerosis_tuning85,30.0,0.0517,0.04942,0.79921,0.68646,0.32545,0.5279,0.34827,1.2033,1.7584,1.7977,3.7491e-06,3.7491e-06,3.7491e-06
109,ateroesclerosis_tuning158,30.0,0.07132,0.11813,0.70137,0.69939,0.38514,0.5624,0.36029,1.5563,3.8213,1.5926,3.5437e-06,3.5437e-06,3.5437e-06
110,ateroesclerosis_tuning248,30.0,0.06735,0.11373,0.6354,0.70445,0.39189,0.5634,0.34557,1.4055,3.9205,1.3574,3.0866e-06,3.0866e-06,3.0866e-06
111,ateroesclerosis_tuning117,30.0,0.07661,0.10116,0.63594,0.74312,0.36486,0.57769,0.36939,1.5504,3.6078,1.3162,3.5203e-06,3.5203e-06,3.5203e-06
112,ateroesclerosis_tuning235,30.0,0.07504,0.13825,0.7685,0.67928,0.38401,0.57395,0.36289,1.5345,4.1676,1.6335,3.4985e-06,3.4985e-06,3.4985e-06
113,ateroesclerosis_tuning208,30.0,0.07815,0.11901,0.63481,0.71824,0.35023,0.55999,0.37035,1.5704,4.0788,1.224,3.4794e-06,3.4794e-06,3.4794e-06
114,ateroesclerosis_tuning68,30.0,0.06127,0.05443,0.72412,0.65169,0.39189,0.55723,0.35041,1.256,1.7325,1.4602,4.0854e-06,4.0854e-06,4.0854e-06
115,ateroesclerosis_tuning53,30.0,0.05918,0.0386,0.85271,0.50182,0.31081,0.46414,0.32448,1.2634,1.442,1.775,3.803e-06,3.803e-06,3.803e-06
116,ateroesclerosis_tuning133,30.0,0.0718,0.08885,0.6154,0.68852,0.42568,0.58796,0.35732,1.4715,2.8752,1.2296,3.5751e-06,3.5751e-06,3.5751e-06
117,ateroesclerosis_tuning86,30.0,0.06974,0.07428,0.73937,0.66158,0.29279,0.51345,0.37076,1.4995,2.7957,1.5286,4.2285e-06,4.2285e-06,4.2285e-06
118,ateroesclerosis_tuning209,30.0,0.07673,0.10105,0.63565,0.65524,0.36599,0.52795,0.35479,1.5663,3.4392,1.3245,3.5037e-06,3.5037e-06,3.5037e-06
119,ateroesclerosis_tuning102,30.0,0.06104,0.05799,0.78435,0.64023,0.37275,0.53904,0.35782,1.3317,1.8991,1.7139,3.5959e-06,3.5959e-06,3.5959e-06
120,ateroesclerosis_tuning143,30.0,0.07046,0.07245,0.80864,0.6982,0.3491,0.55356,0.38092,1.5536,2.4658,1.8123,3.4837e-06,3.4837e-06,3.4837e-06
121,ateroesclerosis_tuning229,30.0,0.07342,0.11248,0.63915,0.71847,0.35923,0.56754,0.38622,1.5409,3.8207,1.3121,3.1291e-06,3.1291e-06,3.1291e-06
122,ateroesclerosis_tuning100,30.0,0.05512,0.05743,0.68739,0.64343,0.36374,0.52052,0.33229,1.2334,1.9508,1.4985,3.7125e-06,3.7125e-06,3.7125e-06
123,ateroesclerosis_tuning13,30.0,0.07944,0.08186,0.65412,0.65344,0.35248,0.53875,0.36549,1.644,2.8419,1.3364,3.7621e-06,3.7621e-06,3.7621e-06
124,ateroesclerosis_tuning140,30.0,0.07543,0.10873,0.68548,0.68547,0.35586,0.52973,0.34817,1.4906,3.8736,1.3988,3.8998e-06,3.8998e-06,3.8998e-06
125,ateroesclerosis_tuning167,30.0,0.07071,0.11553,0.6991,0.61831,0.40315,0.5362,0.29906,1.5164,3.6186,1.5041,3.5203e-06,3.5203e-06,3.5203e-06
126,ateroesclerosis_tuning72,30.0,0.07357,0.08218,0.59678,0.66015,0.30405,0.51257,0.34716,1.6266,2.9718,1.2539,3.676e-06,3.676e-06,3.676e-06
127,ateroesclerosis_tuning200,30.0,0.09365,0.10099,0.48793,0.80155,0.35023,0.6002,0.39131,1.9358,3.3299,0.96109,3.6429e-06,3.6429e-06,3.6429e-06
128,ateroesclerosis_tuning28,30.0,0.07927,0.08388,0.73327,0.66977,0.32432,0.51994,0.32455,1.5836,2.9849,1.4386,3.7786e-06,3.7786e-06,3.7786e-06
129,ateroesclerosis_tuning58,30.0,0.07225,0.07917,0.80036,0.63702,0.29842,0.49256,0.32514,1.6194,3.0055,1.7324,4.2304e-06,4.2304e-06,4.2304e-06
130,ateroesclerosis_tuning145,30.0,0.08066,0.11952,0.70066,0.64835,0.33221,0.52826,0.37358,1.6659,3.6955,1.4565,2.4454e-06,2.4454e-06,2.4454e-06
131,ateroesclerosis_tuning144,30.0,0.07164,0.11462,0.69879,0.80378,0.38288,0.62075,0.43244,1.3921,3.7039,1.4028,3.5203e-06,3.5203e-06,3.5203e-06
132,ateroesclerosis_tuning49,30.0,0.10295,0.08739,0.60462,0.73697,0.33446,0.56603,0.37895,2.2337,3.005,1.278,3.8074e-06,3.8074e-06,3.8074e-06
133,ateroesclerosis_tuning62,30.0,0.05316,0.05509,0.61883,0.69333,0.35135,0.5415,0.36493,1.103,1.7656,1.2956,3.7125e-06,3.7125e-06,3.7125e-06
134,ateroesclerosis_tuning220,30.0,0.06932,0.08237,0.63371,0.59206,0.36937,0.53003,0.33991,1.439,2.6465,1.3192,3.5959e-06,3.5959e-06,3.5959e-06
135,ateroesclerosis_tuning20,30.0,0.09354,0.07453,0.78252,0.72619,0.34347,0.55534,0.34937,2.0379,2.7084,1.5753,3.9535e-06,3.9535e-06,3.9535e-06
136,ateroesclerosis_tuning196,30.0,0.0813,0.12525,0.70124,0.71975,0.38176,0.57788,0.3415,1.7426,4.1117,1.6323,3.589e-06,3.589e-06,3.589e-06
137,ateroesclerosis_tuning188,30.0,0.06661,0.10542,0.72755,0.72798,0.31644,0.5375,0.37527,1.4632,4.0673,1.5028,3.8911e-06,3.8911e-06,3.8911e-06
138,ateroesclerosis_tuning204,30.0,0.07537,0.11945,0.70751,0.7659,0.29842,0.55348,0.34564,1.6061,4.3467,1.4867,3.495e-06,3.495e-06,3.495e-06
139,ateroesclerosis_tuning43,30.0,0.07313,0.08664,0.81032,0.62754,0.31306,0.51219,0.35424,1.6728,3.2122,1.6713,4.6237e-06,4.6237e-06,4.6237e-06
140,ateroesclerosis_tuning105,30.0,0.07489,0.12147,0.57107,0.75581,0.29279,0.55221,0.40035,1.5894,4.1003,1.1997,4.0081e-06,4.0081e-06,4.0081e-06
141,ateroesclerosis_tuning115,30.0,0.06389,0.09641,0.50219,0.65611,0.32658,0.51259,0.35759,1.3797,3.6085,1.0511,3.6368e-06,3.6368e-06,3.6368e-06
142,ateroesclerosis_tuning42,30.0,0.0707,0.09692,0.67303,0.72517,0.3536,0.56349,0.35685,1.4058,3.4024,1.3338,3.5203e-06,3.5203e-06,3.5203e-06
143,ateroesclerosis_tuning93,30.0,0.0599,0.05634,0.79925,0.72495,0.38288,0.57579,0.35287,1.2833,2.1145,1.5239,3.7108e-06,3.7108e-06,3.7108e-06
144,ateroesclerosis_tuning116,30.0,0.06742,0.10293,0.63525,0.64139,0.35248,0.53439,0.34381,1.4428,3.349,1.3376,3.1299e-06,3.1299e-06,3.1299e-06
145,ateroesclerosis_tuning63,30.0,0.0588,0.05776,0.55272,0.62529,0.30068,0.50128,0.33731,1.1751,1.8933,1.1292,3.6012e-06,3.6012e-06,3.6012e-06
146,ateroesclerosis_tuning164,30.0,0.06988,0.11097,0.7645,0.64775,0.37275,0.54408,0.33238,1.5224,3.6131,1.6914,3.5455e-06,3.5455e-06,3.5455e-06
147,ateroesclerosis_tuning97,30.0,0.06099,0.05954,0.92978,0.83149,0.33896,0.5978,0.39283,1.3724,2.2797,1.9511,5.7588e-06,5.7588e-06,5.7588e-06
148,ateroesclerosis_tuning88,30.0,0.06381,0.06084,0.79876,0.6484,0.31982,0.50764,0.32147,1.177,2.2698,1.4666,3.3573e-06,3.3573e-06,3.3573e-06
149,ateroesclerosis_tuning214,30.0,0.082,0.11497,0.63546,0.74294,0.29617,0.54557,0.39958,1.6046,4.2747,1.1887,3.9114e-06,3.9114e-06,3.9114e-06
150,ateroesclerosis_tuning191,30.0,0.07626,0.118,0.62218,0.59242,0.4223,0.5521,0.34143,1.461,3.5075,1.2593,3.1137e-06,3.1137e-06,3.1137e-06
151,ateroesclerosis_tuning184,30.0,0.07062,0.11263,0.6989,0.68664,0.33559,0.53796,0.34305,1.3618,3.8753,1.4043,3.569e-06,3.569e-06,3.569e-06
152,ateroesclerosis_tuning12,30.0,0.08279,0.07867,0.65522,0.65035,0.31419,0.50491,0.32962,1.7079,2.7296,1.3585,3.7882e-06,3.7882e-06,3.7882e-06
153,ateroesclerosis_tuning56,30.0,0.06061,0.05689,0.7978,0.74442,0.33784,0.57326,0.39729,1.3121,2.0363,1.608,3.7125e-06,3.7125e-06,3.7125e-06
154,ateroesclerosis_tuning211,30.0,0.07047,0.11639,0.69821,0.62851,0.35248,0.5076,0.34754,1.3583,3.8603,1.4319,3.5203e-06,3.5203e-06,3.5203e-06
155,ateroesclerosis_tuning170,30.0,0.06303,0.112,0.7254,0.95331,0.25291,0.45016,0.32163,1.3,4.1988,1.4317,3.4759e-06,3.4759e-06,3.4759e-06
156,ateroesclerosis_tuning198,30.0,0.0712,0.11279,0.69976,0.66856,0.39752,0.55868,0.35428,1.4738,3.4156,1.4978,3.923e-06,3.923e-06,3.923e-06
157,ateroesclerosis_tuning3,30.0,0.07415,0.08168,0.73378,0.75205,0.41329,0.60224,0.36635,1.6499,2.5692,1.576,3.8074e-06,3.8074e-06,3.8074e-06
158,ateroesclerosis_tuning240,30.0,0.06536,0.11436,0.78529,0.7191,0.36036,0.55948,0.33044,1.2409,4.0753,1.568,3.1214e-06,3.1214e-06,3.1214e-06
159,ateroesclerosis_tuning19,30.0,0.08112,0.07639,0.75411,0.66247,0.29617,0.51718,0.37326,1.7427,2.7715,1.5191,3.7299e-06,3.7299e-06,3.7299e-06
160,ateroesclerosis_tuning15,30.0,0.08678,0.08371,0.68695,0.49186,0.30631,0.43147,0.27871,1.9237,3.051,1.4742,3.9631e-06,3.9631e-06,3.9631e-06
161,ateroesclerosis_tuning2,30.0,0.07411,0.08516,0.78307,0.72074,0.30518,0.52982,0.37021,1.6574,3.3155,1.5926,4.3116e-06,4.3116e-06,4.3116e-06
162,ateroesclerosis_tuning183,30.0,0.07141,0.11499,0.70304,0.71926,0.39527,0.58987,0.3841,1.4455,3.5344,1.4726,3.5194e-06,3.5194e-06,3.5194e-06
163,ateroesclerosis_tuning219,30.0,0.08029,0.11723,0.69963,0.687,0.29167,0.52025,0.36464,1.5997,3.816,1.4989,3.6429e-06,3.6429e-06,3.6429e-06
164,ateroesclerosis_tuning134,30.0,0.06555,0.10431,0.50977,0.77391,0.4009,0.61339,0.38194,1.3694,3.5554,1.087,3.8785e-06,3.8785e-06,3.8785e-06
165,ateroesclerosis_tuning141,30.0,0.07083,0.10088,0.63561,0.7343,0.34234,0.55697,0.36414,1.3449,3.2712,1.1981,3.5472e-06,3.5472e-06,3.5472e-06
166,ateroesclerosis_tuning55,30.0,0.08376,0.08297,0.85147,0.65772,0.33108,0.53259,0.36643,1.7602,2.6496,1.7611,3.3526e-06,3.3526e-06,3.3526e-06
167,ateroesclerosis_tuning207,30.0,0.08392,0.10801,0.60067,0.68644,0.36486,0.54239,0.32847,1.8551,3.633,1.3574,4.2547e-06,4.2547e-06,4.2547e-06
