,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,ateroesclerosis_tuning40,100,0.11723,0.13907,0.46893,0.51758,0.26787,0.33624,0.16262,2.2492,                 6.4987,1.4661,0.0001419,0.0001419,0.0001419
34,ateroesclerosis_tuning4,100,0.10518,0.10843,0.70766,0.56536,0.33186,0.40693,0.2051,                 2.3412,                 3.9842,                 2.6334,0.00013546,0.00013546,0.00013546
35,ateroesclerosis_tuning23,100,0.08192,0.08496,0.6934,0.4243,0.29435,0.36653,0.19619,                 2.3887,                 3.5402,                 2.3392,0.00011725,0.00011725,0.00011725
36,ateroesclerosis_tuning22,100,0.08934,0.09543,0.69492,0.57832,0.2233,0.35424,0.18803,                 2.5562,                 3.8205,                 2.4154,0.00013559,0.00013559,0.00013559
37,ateroesclerosis_tuning47,100,0.09306,0.11818,0.50401,0.52215,0.27493,0.35265,0.17589,                 2.1723,                  4.786,                 1.6458,0.00016831,0.00016831,0.00016831
38,ateroesclerosis_tuning26,100,0.09082,0.11649,0.50417,0.5533,0.2356,0.33867,0.16865,                  2.161,                 4.3624,                 1.6109,0.00014984,0.00014984,0.00014984
39,ateroesclerosis_tuning6,100,0.10725,0.11037,0.67904,0.56599,0.26358,0.32842,0.17023,                 2.3463,                 4.4865,                 2.2596,0.00015132,0.00015132,0.00015132
40,ateroesclerosis_tuning11,100,0.08893,0.10819,0.4846,0.37373,0.27493,0.3319,0.1743,                  2.283,                 5.0276,                  1.536,0.00014732,0.00014732,0.00014732
41,ateroesclerosis_tuning35,100,0.08535,0.1028,0.50629,0.51822,0.23497,0.32349,0.16621,                 2.0721,                 5.5495,                 1.6783,0.00018628,0.00018628,0.00018628
42,ateroesclerosis_tuning50,100,0.09164,0.12548,0.50577,0.48551,0.30627,0.37836,0.19134,                 2.2896,                 5.0434,                 1.7144,0.00016612,0.00016612,0.00016612
43,ateroesclerosis_tuning32,100,0.09547,0.12957,0.50489,0.59072,0.30891,0.41223,0.21504,                 2.1735,                 5.9367,                 1.6138,0.00016501,0.00016501,0.00016501
44,ateroesclerosis_tuning16,100,0.09851,0.12426,0.50578,0.41255,0.29876,0.33671,0.16523,                 2.2713,                 4.7901,                 1.5899,0.00014984,0.00014984,0.00014984
45,ateroesclerosis_tuning7,100,0.07522,0.09124,0.70667,0.43409,0.25287,0.35294,0.18917,                 2.1593,                 3.9306,                   2.36,0.00015601,0.00015601,0.00015601
46,ateroesclerosis_tuning8,100,0.13115,0.13702,0.71826,0.40739,0.30671,0.36003,0.18267,                  2.792,                 6.8408,                 2.3639,0.00015921,0.00015921,0.00015921
47,ateroesclerosis_tuning25,100,0.092,0.11638,0.53166,0.4304,0.35613,0.3908,0.19465,2.1173,                 4.6823,1.7361,0.00017202,0.00017202,0.00017202
48,ateroesclerosis_tuning21,100,0.07576,0.11392,0.55935,0.61038,0.28244,0.39222,0.19303,                 1.8642,                 4.1889,                 1.9005,0.00015525,0.00015525,0.00015525
49,ateroesclerosis_tuning46,100,0.12642,0.14159,0.36925,0.52669,0.33196,0.38263,0.18389,2.2646,                 4.2366,1.1117,0.00017379,0.00017379,0.00017379
