,Unnamed: 0,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
139,98,ateroesclerosis_tuning140,50.0,0.03856,0.06063,0.93785,0.60686,0.43806,0.56651,0.33301,1.0829,2.1603,2.4263,8.8465e-08,8.8465e-08,8.8465e-08,0.42756,2e-05,0.00344,0.7,0.00043,3.9316,0.23398,4.29656,0.35201,1.91512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,133,ateroesclerosis_tuning141,50.0,0.05593,0.059,0.97765,0.70524,0.36374,0.53838,0.33638,1.4327,2.1619,2.3023,8.1472e-08,8.1472e-08,8.1472e-08,0.361,2e-05,0.00309,0.72076,0.00041,3.77149,0.21973,5.87081,0.3258,1.99293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,76,ateroesclerosis_tuning142,50.0,0.05201,0.09592,1.2163,0.71787,0.35473,0.47974,0.28391,1.2769,2.523,3.1202,4.8129e-08,4.8129e-08,4.8129e-08,0.34765,1e-05,0.00383,0.70357,0.00049,2.72724,0.26286,4.64268,0.46845,2.47623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,95,ateroesclerosis_tuning143,50.0,0.03562,0.06153,0.94572,0.65275,0.44032,0.56788,0.33838,0.97326,2.2351,2.3297,1.0725e-07,1.0725e-07,1.0725e-07,0.43012,2e-05,0.00438,0.71141,0.00042,3.75953,0.2153,3.937,0.35645,1.93228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,105,ateroesclerosis_tuning144,50.0,0.05366,0.06036,0.98879,0.64134,0.40878,0.56107,0.36673,1.4135,1.9747,2.4045,8.9464e-08,8.9464e-08,8.9464e-08,0.40458,2e-05,0.00349,0.71908,0.0004,3.80856,0.22057,5.97598,0.3489,2.01264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,104,ateroesclerosis_tuning145,50.0,0.03981,0.06213,0.98581,0.50522,0.43581,0.52093,0.28122,1.107,2.3126,2.3309,1.0725e-07,1.0725e-07,1.0725e-07,0.42035,2e-05,0.00438,0.71084,0.00042,4.05132,0.2153,4.41548,0.36198,2.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,37,ateroesclerosis_tuning146,50.0,0.03306,0.0733,1.0777,0.56372,0.42342,0.54757,0.32521,0.93591,2.5894,2.8526,1.1304e-07,1.1304e-07,1.1304e-07,0.4136,2e-05,0.00467,0.71394,0.00043,3.79516,0.20338,3.56887,0.41756,2.20089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,173,ateroesclerosis_tuning147,50.0,0.03617,0.07533,0.85784,0.55594,0.36374,0.48881,0.29461,1.0725,2.6633,2.3428,9.4459e-08,9.4459e-08,9.4459e-08,0.35683,2e-05,0.00374,0.70357,0.00043,3.8115,0.26444,4.00931,0.43067,1.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,25,ateroesclerosis_tuning148,50.0,0.03768,0.0598,1.2143,0.81465,0.42793,0.59825,0.37829,1.0606,2.0275,3.0755,1.1084e-07,1.1084e-07,1.1084e-07,0.42296,2e-05,0.00456,0.70968,0.00048,4.12872,0.23008,4.29656,0.35186,2.48219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,191,ateroesclerosis_tuning149,50.0,0.03695,0.07314,0.99945,0.63339,0.39302,0.54559,0.35598,1.0315,2.7633,2.4314,1.0405e-07,1.0405e-07,1.0405e-07,0.38931,2e-05,0.00422,0.70357,0.00042,3.81051,0.24368,3.95427,0.41662,2.04099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,196,ateroesclerosis_tuning150,50.0,0.03814,0.07796,0.94409,0.51724,0.40541,0.50757,0.34978,0.99245,2.6392,2.2041,1.0005e-07,1.0005e-07,1.0005e-07,0.39984,2e-05,0.00402,0.70301,0.00044,3.96362,0.23718,4.11541,0.43723,1.92335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,172,ateroesclerosis_tuning151,50.0,0.03839,0.06446,0.96506,0.53357,0.34009,0.48005,0.31459,1.0305,2.202,2.4049,1.1204e-07,1.1204e-07,1.1204e-07,0.33754,2e-05,0.00462,0.70261,0.00042,4.10048,0.22466,4.12419,0.3634,1.96882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,135,ateroesclerosis_tuning152,50.0,0.03637,0.06128,0.97232,0.61652,0.47072,0.59012,0.33673,0.94912,2.138,2.3719,9.9054e-08,9.9054e-08,9.9054e-08,0.45732,2e-05,0.00397,0.71169,0.00043,3.95496,0.2149,4.03725,0.35645,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,199,ateroesclerosis_tuning153,50.0,0.03985,0.06898,0.79713,0.53125,0.44032,0.52689,0.31539,1.1051,2.3527,2.0936,1.0685e-07,1.0685e-07,1.0685e-07,0.42782,2e-05,0.00436,0.72214,0.00043,3.6601,0.1888,4.35339,0.39253,1.62731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,41,ateroesclerosis_tuning154,50.0,0.03831,0.06099,0.98128,0.55422,0.36261,0.5118,0.3274,1.0744,2.3581,2.3858,1.0565e-07,1.0565e-07,1.0565e-07,0.35909,2e-05,0.0043,0.71235,0.00043,3.9316,0.2153,4.24595,0.35211,2.00276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,15,ateroesclerosis_tuning155,50.0,0.05546,0.0613,0.97672,0.66052,0.48423,0.59777,0.34949,1.4686,1.9732,2.4365,8.8065e-08,8.8065e-08,8.8065e-08,0.47076,2e-05,0.00342,0.71032,0.00043,3.71685,0.21973,6.01889,0.34578,1.99293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,181,ateroesclerosis_tuning156,50.0,0.03796,0.06078,0.97326,0.82111,0.37216,0.54822,0.31885,1.0793,2.1634,2.3866,1.0685e-07,1.0685e-07,1.0685e-07,0.36683,2e-05,0.00436,0.71169,0.00043,3.93816,0.21488,4.29391,0.35599,1.9881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,28,ateroesclerosis_tuning157,50.0,0.03937,0.06588,1.0359,0.53871,0.37613,0.49579,0.30549,1.12,2.5074,2.9325,1.0944e-07,1.0944e-07,1.0944e-07,0.36906,2e-05,0.00449,0.73437,0.00048,3.90366,0.18082,4.26488,0.37539,2.11537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,88,ateroesclerosis_tuning158,50.0,0.07235,0.08259,0.83796,0.7372,0.37613,0.51791,0.29791,1.6725,2.1881,2.1684,4.7329e-08,4.7329e-08,4.7329e-08,0.3683,1e-05,0.00375,0.76674,0.00041,4.94018,0.14424,6.39815,0.41085,1.70311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,17,ateroesclerosis_tuning159,50.0,0.0537,0.06042,0.97073,0.84655,0.36374,0.56798,0.32504,1.369,2.1503,2.2328,9.0063e-08,9.0063e-08,9.0063e-08,0.35987,2e-05,0.00352,0.72261,0.00041,3.90771,0.21939,5.87081,0.34578,1.97993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,4,ateroesclerosis_tuning160,50.0,0.05083,0.07131,0.74263,0.88209,0.30631,0.49848,0.33523,1.3376,2.6488,1.6513,1.0605e-07,1.0605e-07,1.0605e-07,0.3092,2e-05,0.00432,0.71162,0.00043,3.9316,0.2381,5.64939,0.41454,1.51403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,83,ateroesclerosis_tuning161,50.0,0.0411,0.06173,1.036,0.6287,0.40541,0.53509,0.31859,1.0717,2.0035,2.4562,1.0725e-07,1.0725e-07,1.0725e-07,0.39672,2e-05,0.00438,0.71956,0.00045,3.78373,0.23833,4.49962,0.35645,2.11322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,198,ateroesclerosis_tuning162,50.0,0.03924,0.05662,0.88334,0.51939,0.4223,0.49391,0.27637,1.1719,1.9486,2.2401,8.2671e-08,8.2671e-08,8.2671e-08,0.4077,2e-05,0.00315,0.7,0.00046,3.1246,0.2153,4.36732,0.32606,1.80372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,154,ateroesclerosis_tuning163,50.0,0.03968,0.0619,0.97371,0.75116,0.33221,0.51022,0.27357,1.1588,2.2755,2.5039,1.0964e-07,1.0964e-07,1.0964e-07,0.32634,2e-05,0.0045,0.71169,0.00042,3.85076,0.21503,4.39715,0.35645,1.9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,118,ateroesclerosis_tuning164,50.0,0.03812,0.06084,0.97119,0.65829,0.44257,0.58694,0.36979,1.1015,1.9866,2.6843,1.0685e-07,1.0685e-07,1.0685e-07,0.43529,2e-05,0.00436,0.71099,0.00043,3.93386,0.21662,4.29078,0.35645,1.98312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,167,ateroesclerosis_tuning165,50.0,0.03973,0.05657,0.98655,0.59365,0.39977,0.53491,0.33869,0.96342,2.0793,2.1871,1.0725e-07,1.0725e-07,1.0725e-07,0.39367,2e-05,0.00438,0.71983,0.00033,3.9316,0.17108,4.29656,0.32241,2.01529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,157,ateroesclerosis_tuning166,50.0,0.03894,0.06125,0.99084,0.63432,0.50788,0.60219,0.30958,1.0197,2.1494,2.2738,1.0725e-07,1.0725e-07,1.0725e-07,0.48805,2e-05,0.00438,0.71058,0.00043,3.9316,0.21275,4.34173,0.35645,2.01881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,99,ateroesclerosis_tuning167,50.0,0.04216,0.06118,1.3519,0.56377,0.43806,0.54924,0.29316,1.1156,2.1931,3.0764,8.8864e-08,8.8864e-08,8.8864e-08,0.42357,2e-05,0.00346,0.7,0.00034,4.5405,0.13337,4.78528,0.35645,2.76203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,35,ateroesclerosis_tuning168,50.0,0.04625,0.1079,0.72116,0.76276,0.33311,0.49937,0.31772,1.3076,3.7343,1.8433,1.0005e-07,1.0005e-07,1.0005e-07,0.33157,2e-05,0.00402,0.79645,0.00043,4.6044,0.18865,4.79334,0.59531,1.4658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,188,ateroesclerosis_tuning169,50.0,0.06134,0.05335,1.0278,0.54725,0.43694,0.5554,0.34406,1.6358,1.6427,2.384,1.1804e-07,1.1804e-07,1.1804e-07,0.42765,2e-05,0.00492,0.76079,0.00043,2.84299,0.19901,6.55758,0.29096,2.08657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,125,ateroesclerosis_tuning170,50.0,0.0421,0.06785,1.1179,0.62482,0.48198,0.58804,0.33326,1.1225,2.1064,2.644,7.8675e-08,7.8675e-08,7.8675e-08,0.46711,2e-05,0.00295,0.7,0.00055,3.53471,0.2153,4.73352,0.39096,2.28544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,164,ateroesclerosis_tuning171,50.0,0.05035,0.0587,0.63225,0.77227,0.36261,0.54497,0.33586,1.3357,1.9616,1.5711,1.1903e-07,1.1903e-07,1.1903e-07,0.35994,2e-05,0.00497,0.70222,0.0005,3.93534,0.23599,5.44319,0.34306,1.2877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,46,ateroesclerosis_tuning172,50.0,0.04054,0.07246,0.97697,0.52297,0.43581,0.5299,0.32476,1.0815,2.5272,2.2706,1.0405e-07,1.0405e-07,1.0405e-07,0.42471,2e-05,0.00422,0.72765,0.00047,4.14,0.2153,4.4087,0.41525,1.99528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,62,ateroesclerosis_tuning173,50.0,0.03546,0.07703,0.94214,0.62466,0.52477,0.61407,0.34935,0.90188,2.2325,2.2305,9.4459e-08,9.4459e-08,9.4459e-08,0.50723,2e-05,0.00374,0.70397,0.00043,3.91284,0.22322,3.88898,0.43781,1.92335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,177,ateroesclerosis_tuning174,50.0,0.05461,0.05759,0.89004,0.67658,0.40991,0.59113,0.36535,1.5758,2.2389,2.0014,1.4528e-07,1.4528e-07,1.4528e-07,0.40545,3e-05,0.00386,0.73668,0.00043,4.50058,0.21283,6.38416,0.34578,1.81551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,68,ateroesclerosis_tuning175,50.0,0.03545,0.06761,0.75713,0.68058,0.36712,0.56113,0.36025,1.0257,2.5791,1.8114,1.9923e-07,1.9923e-07,1.9923e-07,0.36643,3e-05,0.00566,0.70891,0.00043,3.9316,0.29116,4.29656,0.41535,1.54674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,73,ateroesclerosis_tuning176,50.0,0.03954,0.06356,0.79545,0.54805,0.41104,0.52504,0.339,1.0963,2.2342,1.9901,1.2263e-07,1.2263e-07,1.2263e-07,0.40383,2e-05,0.00515,0.71169,0.00049,3.84709,0.18123,4.29656,0.35645,1.62219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,151,ateroesclerosis_tuning177,50.0,0.03469,0.05161,0.97424,0.57317,0.42342,0.54677,0.31153,0.94916,1.8031,2.4455,1.0685e-07,1.0685e-07,1.0685e-07,0.41223,2e-05,0.00436,0.73822,0.00038,3.95096,0.23415,3.8288,0.30022,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,143,ateroesclerosis_tuning178,50.0,0.03473,0.06491,0.79351,0.72296,0.30968,0.46043,0.25777,0.82008,1.7876,2.2941,5.3623e-08,5.3623e-08,5.3623e-08,0.30449,1e-05,0.00438,0.71169,0.00046,3.9316,0.182,3.01718,0.31226,1.61651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,165,ateroesclerosis_tuning179,50.0,0.04016,0.05443,0.92493,0.60889,0.46284,0.57993,0.36721,1.1129,1.732,2.3075,1.0705e-07,1.0705e-07,1.0705e-07,0.45327,2e-05,0.00437,0.736,0.00039,3.95282,0.16436,4.29656,0.30488,1.88423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,175,ateroesclerosis_tuning180,50.0,0.03572,0.07762,0.95411,0.61765,0.52027,0.5984,0.33945,0.95249,2.2591,2.3917,9.4859e-08,9.4859e-08,9.4859e-08,0.50219,2e-05,0.00376,0.70468,0.00043,3.91284,0.22275,3.9153,0.44035,1.94796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,ateroesclerosis_tuning181,50.0,0.03956,0.06142,0.97307,0.85969,0.31869,0.51244,0.31846,1.0784,2.2642,2.3175,1.0685e-07,1.0685e-07,1.0685e-07,0.31867,2e-05,0.00436,0.71101,0.00043,3.92431,0.2144,4.28683,0.35623,1.98383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,30,ateroesclerosis_tuning182,50.0,0.03499,0.08068,1.0248,0.83463,0.34103,0.53889,0.31397,0.95255,2.8483,2.5053,8.5068e-08,8.5068e-08,8.5068e-08,0.33832,2e-05,0.00327,0.73848,0.00043,3.91284,0.23301,3.72418,0.45567,2.09351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,131,ateroesclerosis_tuning183,50.0,0.0373,0.0923,0.91686,0.56913,0.39865,0.52722,0.33775,1.0048,3.1521,2.3583,8.7066e-08,8.7066e-08,8.7066e-08,0.39256,2e-05,0.00337,0.7,0.00043,3.7044,0.21588,3.88898,0.50793,1.87144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,122,ateroesclerosis_tuning184,50.0,0.04424,0.06247,1.0184,0.64111,0.44257,0.57714,0.35973,1.1102,2.2397,2.252,1.0924e-07,1.0924e-07,1.0924e-07,0.43428,2e-05,0.00448,0.70146,0.00042,4.16492,0.25586,4.83331,0.35645,2.07876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,180,ateroesclerosis_tuning185,50.0,0.03944,0.07006,0.97303,0.56224,0.46284,0.55801,0.34369,1.0548,2.0546,2.3988,1.0265e-07,1.0265e-07,1.0265e-07,0.45092,2e-05,0.00415,0.72114,0.0005,4.20715,0.22551,4.29656,0.40238,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,86,ateroesclerosis_tuning186,50.0,0.03771,0.0551,0.80282,0.80361,0.40203,0.59977,0.36687,1.0233,1.8461,1.8552,1.0645e-07,1.0645e-07,1.0645e-07,0.39851,2e-05,0.00434,0.71285,0.00043,3.77816,0.171,4.10074,0.31467,1.63875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,51,ateroesclerosis_tuning187,50.0,0.0371,0.07993,0.95638,0.57,0.51351,0.60165,0.32182,1.028,2.2969,2.5307,9.6457e-08,9.6457e-08,9.6457e-08,0.49434,2e-05,0.00384,0.70628,0.00043,3.68049,0.22275,4.01364,0.44871,1.95185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,110,ateroesclerosis_tuning188,50.0,0.03651,0.06796,0.84983,0.39865,0.33221,0.41378,0.26383,1.082,2.5193,2.3083,9.9454e-08,9.9454e-08,9.9454e-08,0.32537,2e-05,0.00399,0.7,0.00055,3.9316,0.22701,3.98949,0.38973,1.73224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1,ateroesclerosis_tuning189,50.0,0.04915,0.06149,0.93821,0.50182,0.46509,0.53507,0.30108,1.3164,1.9909,2.3761,1.0005e-07,1.0005e-07,1.0005e-07,0.44869,2e-05,0.00402,0.7,0.00043,3.9316,0.22408,5.39446,0.35645,1.91422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2,ateroesclerosis_tuning190,50.0,0.03484,0.07298,0.83277,0.74358,0.36901,0.55166,0.33641,0.97245,2.4663,2.042,9.6257e-08,9.6257e-08,9.6257e-08,0.36575,2e-05,0.00383,0.71689,0.00045,3.83892,0.24265,3.72526,0.41493,1.70109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
