,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,ateroesclerosis_tuning10,100.0,0.02704,0.05603,0.92479,0.6553,0.38964,0.55947,0.3696,0.91482,2.6198,2.0687,1.365e-07,1.365e-07,1.365e-07
38,ateroesclerosis_tuning92,100.0,0.02646,0.04923,1.01,0.59109,0.34347,0.50998,0.34251,0.90032,2.3524,2.598,1.1991e-07,1.1991e-07,1.1991e-07
39,ateroesclerosis_tuning34,100.0,0.02755,0.03633,1.1107,0.57895,0.26014,0.44969,0.29588,1.0188,1.9506,2.673,1.0591e-07,1.0591e-07,1.0591e-07
40,ateroesclerosis_tuning71,100.0,0.02512,0.05612,0.86107,0.68709,0.3536,0.55179,0.34924,0.80812,2.7465,1.99,1.255e-07,1.255e-07,1.255e-07
41,ateroesclerosis_tuning70,100.0,0.02725,0.05745,0.89533,0.68922,0.30968,0.52308,0.34229,0.90566,3.0451,2.2148,1.255e-07,1.255e-07,1.255e-07
42,ateroesclerosis_tuning61,100.0,0.02573,0.05263,1.0669,0.54545,0.27703,0.44964,0.28154,0.95111,2.6955,2.8437,1.255e-07,1.255e-07,1.255e-07
43,ateroesclerosis_tuning5,100.0,0.02801,0.05587,0.99073,0.59375,0.36374,0.51612,0.33038,1.0526,2.6556,2.6305,1.371e-07,1.371e-07,1.371e-07
44,ateroesclerosis_tuning108,100.0,0.02685,0.05745,0.92902,0.64627,0.38063,0.5429,0.34439,0.95639,2.5515,2.3531,1.2031e-07,1.2031e-07,1.2031e-07
45,ateroesclerosis_tuning75,100.0,0.02394,0.04098,1.0288,0.79741,0.41667,0.62876,0.37966,0.89259,1.8748,2.6662,1.1451e-07,1.1451e-07,1.1451e-07
46,ateroesclerosis_tuning18,100.0,0.02823,0.05024,0.81386,0.66602,0.38851,0.56208,0.35792,1.0038,2.3357,2.0353,1.1651e-07,1.1651e-07,1.1651e-07
