,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,ateroesclerosis_tuning186,50.0,0.03771,0.0551,0.80282,0.80361,0.40203,0.59977,0.36687,1.0233,1.8461,1.8552,1.0645e-07,1.0645e-07,1.0645e-07
87,ateroesclerosis_tuning85,50.0,0.04066,0.06456,0.95308,0.52026,0.36149,0.467,0.29457,1.1003,2.5904,2.3317,1.1004e-07,1.1004e-07,1.1004e-07
88,ateroesclerosis_tuning158,50.0,0.07235,0.08259,0.83796,0.7372,0.37613,0.51791,0.29791,1.6725,2.1881,2.1684,4.7329e-08,4.7329e-08,4.7329e-08
89,ateroesclerosis_tuning117,50.0,0.03849,0.06019,0.97285,0.64789,0.46622,0.59791,0.31728,0.99774,2.0655,2.3889,1.0725e-07,1.0725e-07,1.0725e-07
90,ateroesclerosis_tuning68,50.0,0.0467,0.05748,0.974,0.62891,0.36261,0.53727,0.35735,1.365,2.2232,2.4169,1.0185e-07,1.0185e-07,1.0185e-07
91,ateroesclerosis_tuning53,50.0,0.05073,0.0561,0.98205,0.80211,0.3705,0.54499,0.31598,1.3896,1.883,2.3879,1.0285e-07,1.0285e-07,1.0285e-07
92,ateroesclerosis_tuning133,50.0,0.03972,0.06201,0.973,0.6525,0.39752,0.55789,0.33753,1.0689,2.3105,2.2411,1.0725e-07,1.0725e-07,1.0725e-07
93,ateroesclerosis_tuning86,50.0,0.04141,0.06828,1.0144,0.52574,0.3795,0.47759,0.2906,1.1858,2.4504,2.5737,1.0725e-07,1.0725e-07,1.0725e-07
94,ateroesclerosis_tuning102,50.0,0.03782,0.06437,0.92956,0.59266,0.34572,0.48257,0.29575,1.115,2.4886,2.441,1.0625e-07,1.0625e-07,1.0625e-07
95,ateroesclerosis_tuning143,50.0,0.03562,0.06153,0.94572,0.65275,0.44032,0.56788,0.33838,0.97326,2.2351,2.3297,1.0725e-07,1.0725e-07,1.0725e-07
96,ateroesclerosis_tuning100,50.0,0.04102,0.06529,0.58503,0.67362,0.39977,0.5755,0.35646,1.2063,2.4204,1.4792,1.4139e-07,1.4139e-07,1.4139e-07
97,ateroesclerosis_tuning13,50.0,0.04029,0.07163,0.66338,0.75741,0.31644,0.56191,0.39603,1.1805,3.7311,1.3794,4.9292e-07,4.9292e-07,4.9292e-07
98,ateroesclerosis_tuning140,50.0,0.03856,0.06063,0.93785,0.60686,0.43806,0.56651,0.33301,1.0829,2.1603,2.4263,8.8465e-08,8.8465e-08,8.8465e-08
99,ateroesclerosis_tuning167,50.0,0.04216,0.06118,1.3519,0.56377,0.43806,0.54924,0.29316,1.1156,2.1931,3.0764,8.8864e-08,8.8864e-08,8.8864e-08
100,ateroesclerosis_tuning72,50.0,0.0541,0.06325,0.96675,0.59494,0.47635,0.57901,0.34976,1.3643,2.045,2.2397,8.9264e-08,8.9264e-08,8.9264e-08
101,ateroesclerosis_tuning200,50.0,0.0435,0.06199,1.1817,0.52703,0.35135,0.4971,0.33235,1.2975,2.2803,2.9585,1.0984e-07,1.0984e-07,1.0984e-07
102,ateroesclerosis_tuning28,50.0,0.03064,0.05824,0.82263,0.65632,0.30968,0.50876,0.36345,1.082,2.7025,2.1404,2.3482e-07,2.3482e-07,2.3482e-07
103,ateroesclerosis_tuning58,50.0,0.05522,0.05825,0.79475,0.55709,0.5,0.57619,0.31425,1.4104,1.9098,1.8997,1.0924e-07,1.0924e-07,1.0924e-07
104,ateroesclerosis_tuning145,50.0,0.03981,0.06213,0.98581,0.50522,0.43581,0.52093,0.28122,1.107,2.3126,2.3309,1.0725e-07,1.0725e-07,1.0725e-07
105,ateroesclerosis_tuning144,50.0,0.05366,0.06036,0.98879,0.64134,0.40878,0.56107,0.36673,1.4135,1.9747,2.4045,8.9464e-08,8.9464e-08,8.9464e-08
106,ateroesclerosis_tuning49,50.0,0.05042,0.05714,0.97507,0.59758,0.5,0.58421,0.35626,1.3909,1.868,2.4253,1.0185e-07,1.0185e-07,1.0185e-07
107,ateroesclerosis_tuning62,50.0,0.05466,0.05866,0.98656,0.7003,0.32883,0.48265,0.31034,1.4685,2.2077,2.4148,1.0185e-07,1.0185e-07,1.0185e-07
108,ateroesclerosis_tuning20,50.0,0.04631,0.06149,0.82872,0.69895,0.37387,0.56962,0.35919,1.3825,2.7929,1.8366,2.5281e-07,2.5281e-07,2.5281e-07
109,ateroesclerosis_tuning196,50.0,0.04034,0.06634,0.92411,0.59411,0.40878,0.54896,0.34447,1.1185,2.3472,2.2511,1.2763e-07,1.2763e-07,1.2763e-07
110,ateroesclerosis_tuning188,50.0,0.03651,0.06796,0.84983,0.39865,0.33221,0.41378,0.26383,1.082,2.5193,2.3083,9.9454e-08,9.9454e-08,9.9454e-08
111,ateroesclerosis_tuning43,50.0,0.07875,0.07767,0.90717,0.5887,0.4223,0.55631,0.33698,2.4072,2.9916,2.2126,1.4648e-07,1.4648e-07,1.4648e-07
112,ateroesclerosis_tuning105,50.0,0.04009,0.05102,0.97296,0.50736,0.3491,0.46446,0.2977,1.1292,1.9737,2.3812,1.0725e-07,1.0725e-07,1.0725e-07
113,ateroesclerosis_tuning115,50.0,0.03582,0.07151,0.83979,0.52363,0.46171,0.53104,0.31004,0.80117,1.9889,2.1561,7.1406e-08,7.1406e-08,7.1406e-08
114,ateroesclerosis_tuning42,50.0,0.05879,0.06802,0.90577,0.66035,0.47072,0.60725,0.37517,1.7342,2.3593,2.1342,1.4648e-07,1.4648e-07,1.4648e-07
115,ateroesclerosis_tuning93,50.0,0.0392,0.0613,0.97343,0.57063,0.45946,0.54941,0.31434,1.0755,2.2234,2.4024,1.0765e-07,1.0765e-07,1.0765e-07
116,ateroesclerosis_tuning116,50.0,0.03433,0.05998,1.2432,0.64943,0.4527,0.59581,0.32088,0.97111,2.1313,3.0701,1.2163e-07,1.2163e-07,1.2163e-07
117,ateroesclerosis_tuning63,50.0,0.05155,0.05741,0.97388,0.58566,0.33108,0.48024,0.28455,1.485,2.149,2.4885,1.0185e-07,1.0185e-07,1.0185e-07
118,ateroesclerosis_tuning164,50.0,0.03812,0.06084,0.97119,0.65829,0.44257,0.58694,0.36979,1.1015,1.9866,2.6843,1.0685e-07,1.0685e-07,1.0685e-07
119,ateroesclerosis_tuning97,50.0,0.04294,0.06614,1.0773,0.56301,0.46284,0.5612,0.32716,1.1147,2.1792,2.5984,8.9664e-08,8.9664e-08,8.9664e-08
120,ateroesclerosis_tuning88,50.0,0.04055,0.06024,1.0111,0.57685,0.35923,0.5215,0.35324,1.0391,2.4162,2.2628,1.0665e-07,1.0665e-07,1.0665e-07
121,ateroesclerosis_tuning191,50.0,0.04233,0.06482,0.90779,0.61295,0.45833,0.58298,0.31983,1.1848,2.0676,2.2907,1.0924e-07,1.0924e-07,1.0924e-07
122,ateroesclerosis_tuning184,50.0,0.04424,0.06247,1.0184,0.64111,0.44257,0.57714,0.35973,1.1102,2.2397,2.252,1.0924e-07,1.0924e-07,1.0924e-07
123,ateroesclerosis_tuning12,50.0,0.04995,0.08098,0.6631,0.65435,0.33896,0.53152,0.34296,1.5625,3.8318,1.5644,3.6969e-07,3.6969e-07,3.6969e-07
124,ateroesclerosis_tuning56,50.0,0.05492,0.06844,0.97643,0.8462,0.3705,0.56099,0.35354,1.5,2.3428,2.3268,1.0185e-07,1.0185e-07,1.0185e-07
125,ateroesclerosis_tuning170,50.0,0.0421,0.06785,1.1179,0.62482,0.48198,0.58804,0.33326,1.1225,2.1064,2.644,7.8675e-08,7.8675e-08,7.8675e-08
126,ateroesclerosis_tuning198,50.0,0.0391,0.0597,0.97003,0.56016,0.47185,0.55066,0.29525,1.1257,2.1214,2.4402,1.0605e-07,1.0605e-07,1.0605e-07
127,ateroesclerosis_tuning3,50.0,0.05028,0.07403,0.64076,0.78477,0.26689,0.55061,0.43345,1.5483,3.9217,1.339,5.6325e-07,5.6325e-07,5.6325e-07
128,ateroesclerosis_tuning19,50.0,0.05098,0.10246,0.62931,0.70388,0.32658,0.54231,0.37966,1.4753,4.9172,1.3394,5.8601e-07,5.8601e-07,5.8601e-07
129,ateroesclerosis_tuning15,50.0,0.05786,0.09937,0.60618,0.77451,0.26689,0.53902,0.38945,1.9413,5.4947,1.3788,5.5846e-07,5.5846e-07,5.5846e-07
130,ateroesclerosis_tuning2,50.0,0.05875,0.07598,0.64046,0.70455,0.27928,0.51785,0.36763,1.8834,3.8525,1.5205,6.1041e-07,6.1041e-07,6.1041e-07
